Customer,Consumption Category,Generator Capacity,Postcode,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
17,GC,1.85,2229.0,0.2127068493150685,0.23336986301369864,0.22480000000000003,0.2138219178082192,0.20982465753424656,0.21318082191780824,0.20962191780821918,0.20353698630136985,0.19870684931506852,0.20533150684931506,0.20255068493150685,0.2563945205479452,0.3352520547945206,0.44400273972602744,0.5057150684931507,0.5433863013698631,0.5584383561643836,0.5129369863013699,0.48070136986301365,0.4473643835616439,0.7263150684931508,0.8190794520547945,0.916641095890411,0.8537561643835616,0.6212986301369863,0.5729178082191781,0.3953671232876712,0.3989890410958904,0.5068986301369863,0.5158794520547945,0.5694410958904109,0.5943945205479453,0.6689945205479452,0.7419643835616438,0.8212383561643836,0.8808109589041095,0.9276684931506849,0.9274164383561644,0.8528876712328767,0.8251808219178082,0.8250054794520548,0.7714794520547944,0.7077287671232877,0.6379260273972602,0.544654794520548,0.4117452054794521,0.28745753424657533,0.2500986301369863
17,GG,1.85,2229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.287671232876713e-05,0.0014383561643835617,0.006794520547945206,0.01647123287671233,0.029260273972602738,0.044153424657534246,0.060728767123287675,0.07857808219178082,0.10131506849315068,0.1358164383561644,0.19974794520547945,0.33029315068493154,0.40623287671232877,0.43826301369863013,0.4606575342465753,0.4685917808219178,0.4525095890410959,0.43081643835616434,0.3878027397260274,0.3315780821917808,0.2871205479452055,0.24274794520547943,0.19064109589041098,0.1555753424657534,0.11076164383561643,0.07531780821917808,0.046389041095890406,0.02057808219178082,0.0031671232876712327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,CL,1.5700000000000003,2085.0,0.39454246575342466,0.27396712328767125,0.2262849315068493,0.316372602739726,0.2559561643835616,0.19682739726027396,0.15587945205479453,0.09362739726027397,0.06358904109589042,0.06243287671232877,0.06216712328767123,0.09342191780821917,0.09201643835616438,0.1485890410958904,0.20076986301369865,0.213386301369863,0.16449041095890413,0.16278356164383562,0.1724876712328767,0.17656438356164383,0.17917534246575342,0.17455342465753426,0.17087397260273973,0.18930684931506847,0.14058630136986303,0.13194246575342466,0.10435068493150686,0.10668493150684931,0.0913095890410959,0.13680273972602738,0.12279452054794521,0.09495068493150684,0.09403561643835616,0.0947095890410959,0.06991506849315068,0.11319452054794521,0.14454794520547945,0.2714739726027397,0.2934849315068493,0.07639452054794521,0.2786109589041096,0.982145205479452,0.5568630136986301,0.7194657534246576,0.7632191780821918,0.8220794520547945,0.841104109589041,0.6899205479452055
18,GC,1.5700000000000003,2085.0,0.1684931506849315,0.1378109589041096,0.10895616438356164,0.09804109589041095,0.08888767123287672,0.09081643835616439,0.0879041095890411,0.0864,0.08318904109589041,0.08191780821917807,0.08339178082191781,0.08174520547945205,0.09496712328767122,0.1640054794520548,0.2104767123287671,0.2404027397260274,0.2223369863013699,0.22364931506849317,0.2242794520547945,0.19948493150684932,0.1890904109589041,0.2045972602739726,0.2118164383561644,0.23359178082191778,0.21286301369863012,0.19406849315068492,0.20072602739726028,0.19302465753424655,0.18636986301369865,0.18701643835616438,0.18912054794520547,0.19690410958904112,0.23196712328767125,0.2536821917808219,0.37157260273972603,0.5153123287671233,0.5038657534246576,0.4742630136986301,0.42269041095890414,0.3999561643835617,0.38079999999999997,0.3481945205479452,0.34845753424657533,0.3425260273972603,0.31591232876712333,0.29186301369863016,0.2751945205479452,0.21486575342465755
18,GG,1.5700000000000003,2085.0,2.7397260273972604e-06,6.0273972602739724e-05,8.767123287671233e-05,0.0,2.7397260273972604e-06,0.0,9.04109589041096e-05,0.0,0.0,0.0,0.0,6.0273972602739724e-05,0.0028383561643835617,0.015958904109589042,0.0451013698630137,0.10415616438356165,0.17509863013698632,0.23044657534246576,0.27834246575342464,0.32523561643835613,0.35844931506849315,0.37475890410958906,0.4019890410958904,0.40287123287671234,0.40275068493150684,0.4028219178082192,0.39249041095890413,0.3718602739726028,0.3307232876712329,0.288627397260274,0.24046575342465754,0.18801643835616438,0.146213698630137,0.10999726027397261,0.07246027397260274,0.036972602739726024,0.016063013698630137,0.008246575342465754,0.002528767123287671,0.00027123287671232876,4.1095890410958905e-05,3.561643835616439e-05,3.0136986301369862e-05,4.1095890410958905e-05,7.671232876712329e-05,6.849315068493152e-05,8.219178082191781e-05,9.315068493150686e-05
19,CL,1.05,2259.0,0.025498630136986302,0.003254794520547945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05187397260273973
19,GC,1.05,2259.0,0.09935342465753426,0.09952054794520548,0.10106301369863013,0.09945753424657534,0.10268219178082191,0.10116712328767123,0.09936164383561645,0.10244109589041095,0.10138082191780821,0.09976164383561645,0.10087945205479451,0.10442465753424658,0.10261369863013699,0.10975890410958904,0.12116986301369861,0.14235616438356163,0.15087397260273974,0.1605068493150685,0.15566301369863014,0.1489917808219178,0.15366575342465755,0.1654164383561644,0.16241917808219178,0.1580876712328767,0.17366301369863013,0.1813315068493151,0.16801095890410958,0.1482109589041096,0.15257260273972603,0.1798849315068493,0.17727397260273972,0.18313698630136985,0.18259452054794523,0.21427671232876713,0.26565205479452053,0.28309863013698633,0.27183287671232875,0.24231506849315065,0.21590684931506848,0.2204739726027397,0.2107150684931507,0.18383835616438357,0.15254520547945205,0.12407397260273972,0.10871780821917809,0.10425479452054794,0.10307945205479453,0.10265753424657534
19,GG,1.05,2259.0,0.0002136986301369863,0.0002958904109589041,0.0003452054794520548,0.0003123287671232877,0.0002465753424657534,0.000263013698630137,0.00019726027397260276,0.0002465753424657534,0.00019726027397260276,9.863013698630138e-05,0.00027945205479452056,0.0003780821917808219,0.000463013698630137,0.00615068493150685,0.02427945205479452,0.05766575342465754,0.11649041095890411,0.16054794520547946,0.19945753424657536,0.2300027397260274,0.25723013698630137,0.27792328767123287,0.29109315068493147,0.3012767123287671,0.3091616438356164,0.3015068493150685,0.2962849315068493,0.2790849315068493,0.2571972602739726,0.23480547945205482,0.202013698630137,0.16255068493150684,0.11263835616438356,0.07915068493150686,0.054123287671232874,0.03445753424657534,0.016186301369863015,0.004857534246575342,0.0012164383561643836,0.0003452054794520548,0.00023013698630136987,0.0003452054794520548,0.0003780821917808219,0.0002465753424657534,0.0003123287671232877,0.0002465753424657534,0.00016438356164383562,0.0002958904109589041
