Customer,Generator Capacity,Postcode,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
13,2.22,2261.0,0.0,0.0001315068493150685,0.0001315068493150685,6.575342465753425e-05,0.000263013698630137,0.00019726027397260276,0.0001315068493150685,0.00023013698630136987,0.0001315068493150685,0.0001315068493150685,0.00023013698630136987,0.000263013698630137,0.0006136986301369863,0.011994520547945206,0.03576438356164384,0.089386301369863,0.18795616438356164,0.3346465753424658,0.49484383561643835,0.6516657534246575,0.8012986301369863,0.9274027397260274,1.0278849315068492,1.106449315068493,1.1614082191780821,1.2145205479452055,1.2136164383561643,1.1574246575342466,1.0973643835616438,0.9871013698630137,0.8414520547945206,0.7145589041095891,0.5906465753424657,0.4817808219178082,0.33515068493150685,0.23473424657534245,0.14935342465753426,0.06933698630136986,0.022915068493150687,0.002032876712328767,0.000263013698630137,6.575342465753425e-05,0.00019726027397260276,0.00016438356164383562,0.0001315068493150685,9.863013698630138e-05,0.0002958904109589041,0.00016438356164383562
16,3.33,2208.0,6.575342465753425e-05,3.287671232876713e-05,0.0,0.0,3.287671232876713e-05,0.0001315068493150685,6.575342465753425e-05,6.575342465753425e-05,3.287671232876713e-05,6.575342465753425e-05,0.0,0.00023561643835616437,0.007347945205479452,0.042054794520547945,0.1291945205479452,0.2937095890410959,0.5091671232876712,0.742641095890411,0.960931506849315,1.1307397260273973,1.2964438356164383,1.448509589041096,1.5169534246575342,1.5669205479452055,1.597309589041096,1.4985972602739728,1.3621972602739727,1.1348438356164383,0.8296054794520548,0.6154739726027397,0.4276493150684932,0.24574794520547946,0.1845095890410959,0.13582465753424658,0.10138630136986301,0.07135342465753425,0.04526027397260274,0.023945205479452055,0.007901369863013699,0.0009698630136986301,3.287671232876713e-05,9.863013698630138e-05,6.575342465753425e-05,3.287671232876713e-05,0.0001315068493150685,0.0,3.287671232876713e-05,3.287671232876713e-05
20,1.5700000000000003,2259.0,0.0004273972602739726,9.863013698630138e-05,0.00023013698630136987,0.0005589041095890411,0.0003616438356164384,0.0003945205479452055,0.0004273972602739726,0.00019726027397260276,0.00023013698630136987,0.000263013698630137,0.0004931506849315068,0.0006027397260273973,0.006684931506849315,0.036876712328767124,0.12290410958904109,0.2572,0.3910356164383562,0.5032657534246575,0.6142575342465754,0.6916931506849314,0.762586301369863,0.8092328767123288,0.8397041095890412,0.8498958904109589,0.8446575342465754,0.853090410958904,0.8353698630136986,0.7953041095890411,0.7239780821917808,0.6495123287671233,0.5546246575342465,0.45856986301369856,0.3449917808219178,0.23470136986301368,0.15225205479452056,0.09454794520547945,0.04836712328767123,0.016876712328767123,0.0041808219178082195,0.0003616438356164384,0.0003616438356164384,0.0002958904109589041,0.0003616438356164384,0.00019726027397260276,0.00023013698630136987,0.0004931506849315068,0.00019726027397260276,0.0004273972602739726
26,1.02,2300.0,9.863013698630138e-05,0.00019726027397260276,0.0001315068493150685,0.0001315068493150685,6.575342465753425e-05,0.0001315068493150685,9.863013698630138e-05,0.0001315068493150685,3.287671232876713e-05,0.00023013698630136987,0.0001315068493150685,0.00023013698630136987,0.0003616438356164384,0.004367123287671233,0.014164383561643835,0.028410958904109586,0.055764383561643836,0.10407671232876713,0.1799013698630137,0.25746301369863017,0.3371232876712329,0.39980821917808224,0.45698630136986307,0.49670136986301366,0.5243561643835616,0.5369643835616438,0.5602520547945206,0.5534794520547945,0.5318301369863013,0.511545205479452,0.4703013698630137,0.373386301369863,0.26333698630136987,0.18787397260273972,0.1352054794520548,0.08818630136986302,0.041594520547945206,0.012635616438356164,0.002443835616438356,0.00019726027397260276,3.287671232876713e-05,0.0001315068493150685,0.00019726027397260276,0.00019726027397260276,6.575342465753425e-05,0.00016438356164383562,9.863013698630138e-05,0.00019726027397260276
31,1.53,2025.0,4.383561643835617e-05,1.6438356164383563e-05,1.6438356164383563e-05,3.287671232876713e-05,1.6438356164383563e-05,0.0,0.0,5.479452054794521e-06,1.0958904109589042e-05,5.479452054794521e-06,0.0,5.479452054794521e-06,0.0011452054794520547,0.010213698630136986,0.044191780821917805,0.12122191780821918,0.24186301369863014,0.3612438356164384,0.46392328767123286,0.5566301369863014,0.6430575342465754,0.703117808219178,0.7509589041095891,0.7848109589041097,0.8051397260273971,0.803895890410959,0.7921698630136986,0.7597315068493151,0.7105698630136986,0.6331397260273973,0.5221369863013698,0.41146301369863014,0.309841095890411,0.21536438356164384,0.15333150684931507,0.09760547945205479,0.053501369863013695,0.02065205479452055,0.0037260273972602744,0.00037260273972602743,0.00022465753424657535,0.00020273972602739726,0.00021917808219178083,0.00016986301369863014,0.00020821917808219178,0.0001315068493150685,0.00010410958904109589,3.8356164383561644e-05
72,1.02,2261.0,0.00016438356164383562,9.863013698630138e-05,0.0001315068493150685,0.00016438356164383562,6.575342465753425e-05,0.0,0.0001315068493150685,0.0001315068493150685,0.0004273972602739726,0.0001315068493150685,0.00023013698630136987,0.00019726027397260276,0.0025753424657534245,0.010712328767123289,0.025167123287671234,0.04494246575342466,0.08957808219178082,0.15697534246575343,0.24346301369863016,0.36019726027397264,0.4543671232876712,0.4928876712328767,0.5166246575342466,0.5234849315068493,0.5274575342465753,0.5251287671232877,0.5014027397260274,0.45357808219178086,0.40926027397260273,0.34397808219178083,0.2831013698630137,0.2229753424657534,0.1569808219178082,0.10877808219178083,0.06876164383561643,0.04404931506849315,0.022191780821917806,0.008575342465753425,0.002810958904109589,0.0003671232876712329,9.863013698630138e-05,0.0001315068493150685,0.000263013698630137,0.00016438356164383562,6.575342465753425e-05,0.00016438356164383562,9.863013698630138e-05,0.00023013698630136987
92,1.1,2190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000263013698630137,0.0034794520547945205,0.010383561643835616,0.018016438356164382,0.02591780821917808,0.03904657534246576,0.06651506849315068,0.0986904109589041,0.13527671232876712,0.16585753424657534,0.18712328767123287,0.19704109589041097,0.2081917808219178,0.2092164383561644,0.1978849315068493,0.19961643835616438,0.19798904109589044,0.18362191780821918,0.16781369863013698,0.14195616438356165,0.10595616438356165,0.08180821917808219,0.06395616438356165,0.04452602739726027,0.02373698630136986,0.008153424657534247,0.0008383561643835616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1.02,2119.0,0.00032876712328767124,0.0003616438356164384,0.0002958904109589041,0.00023013698630136987,0.00032876712328767124,0.00019726027397260276,0.00023013698630136987,0.00023013698630136987,0.00016438356164383562,0.0001315068493150685,0.0003616438356164384,0.00032876712328767124,0.001632876712328767,0.0092,0.04433972602739726,0.0949917808219178,0.23948493150684932,0.3697972602739726,0.4071561643835616,0.4101260273972603,0.4250082191780822,0.4534465753424658,0.43107945205479453,0.42923835616438355,0.4287397260273973,0.44885479452054794,0.40136438356164383,0.3894410958904109,0.37776986301369864,0.3267671232876712,0.26395068493150686,0.1978027397260274,0.13847671232876713,0.0910958904109589,0.05158904109589041,0.02373150684931507,0.012323287671232877,0.006367123287671232,0.002021917808219178,0.0004328767123287671,0.00023013698630136987,0.00019726027397260276,0.00016438356164383562,0.00023013698630136987,0.00023013698630136987,0.000263013698630137,0.0002958904109589041,0.0003616438356164384
96,1.0,2066.0,0.00019726027397260276,0.0003616438356164384,0.0001315068493150685,0.0005589041095890411,0.0004931506849315068,0.00019726027397260276,0.000263013698630137,0.00046027397260273975,0.00032876712328767124,0.000263013698630137,0.00023013698630136987,0.00023013698630136987,0.0007287671232876713,0.004345205479452055,0.012367123287671233,0.024991780821917806,0.039912328767123285,0.061408219178082195,0.10361643835616438,0.16785753424657535,0.2364986301369863,0.29872876712328766,0.35363287671232874,0.4052767123287671,0.43692054794520546,0.4647232876712329,0.4797095890410959,0.48407123287671233,0.4447178082191781,0.42662465753424655,0.4012328767123287,0.3595890410958904,0.31943561643835616,0.2514958904109589,0.18074520547945203,0.13765479452054794,0.08616438356164384,0.02689315068493151,0.0034958904109589043,0.0004328767123287671,0.00032876712328767124,0.00023013698630136987,0.000263013698630137,0.0002958904109589041,0.000263013698630137,0.00016438356164383562,0.0002958904109589041,0.0002958904109589041
104,1.4800000000000002,2320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013698630136986303,0.004208219178082192,0.031052054794520546,0.10129315068493151,0.21087123287671233,0.324,0.44867945205479454,0.5618575342465754,0.6507178082191781,0.716186301369863,0.7653972602739726,0.8007616438356165,0.8228438356164384,0.8292383561643837,0.8207945205479451,0.7997589041095889,0.7357260273972603,0.6458794520547946,0.5313315068493151,0.4218794520547945,0.33934794520547945,0.275413698630137,0.19901917808219177,0.14387397260273974,0.0843013698630137,0.03357808219178082,0.006778082191780822,0.0004328767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
