Customer,max_time,max_con,minutes_since_midnight,clusters
173,19:30,1.1514406779661017,1170,2
174,18:30,0.9283548387096774,1110,2
175,08:30,2.0955454545454546,510,1
176,19:00,0.89445,1140,2
177,08:00,1.588695652173913,480,1
178,19:00,0.919359756097561,1140,2
179,18:00,1.1366,1080,2
180,08:00,1.62728125,480,1
181,19:00,1.426825,1140,2
182,00:00,0.6637352941176471,0,3
183,19:30,0.931465909090909,1170,2
184,18:00,0.9821428571428571,1080,2
185,12:30,1.338025,750,4
186,18:30,0.6725510204081633,1110,2
187,18:00,0.5304473684210527,1080,2
188,18:30,1.8947636363636364,1110,2
189,21:30,1.95195,1290,0
190,19:00,1.3668571428571428,1140,2
191,18:00,2.220333333333333,1080,2
192,00:30,1.1648749999999999,30,3
193,18:00,1.4161944444444443,1080,2
194,18:00,1.2538771929824561,1080,2
195,18:30,1.1944827586206896,1110,2
196,19:30,1.0669571428571427,1170,2
197,19:30,1.0267162162162162,1170,2
198,21:00,2.228939393939394,1260,0
199,21:00,1.0690833333333334,1260,0
200,19:30,1.1333111111111112,1170,2
201,19:00,1.4684,1140,2
202,08:30,0.6521904761904762,510,1
203,07:00,2.0315116279069767,420,1
204,17:30,0.8987272727272728,1050,2
205,08:30,1.105392857142857,510,1
206,18:30,1.4252533333333335,1110,2
207,13:30,1.3351666666666666,810,4
208,18:00,1.1047473684210525,1080,2
209,18:30,1.433488888888889,1110,2
210,19:00,1.4364591836734693,1140,2
211,19:30,0.48877500000000007,1170,2
212,18:00,1.9087343749999999,1080,2
213,20:30,0.6837777777777778,1230,0
214,06:30,1.0323333333333333,390,1
215,18:30,1.4750392156862746,1110,2
216,00:00,0.7843823529411765,0,3
217,20:00,1.2191379310344828,1200,0
218,19:30,1.2621600000000002,1170,2
219,22:30,0.7605217391304349,1350,0
220,23:30,1.6427027027027028,1410,0
221,19:30,1.5667380952380952,1170,2
222,19:30,1.171,1170,2
223,07:30,1.736375,450,1
224,17:30,1.24315,1050,2
225,08:00,1.4216,480,1
226,07:30,1.2252992125984252,450,1
227,18:30,0.8355227272727273,1110,2
228,14:00,1.752795918367347,840,4
229,20:30,1.0747916666666668,1230,0
230,20:30,1.1474,1230,0
231,07:00,1.9849342105263157,420,1
232,18:00,1.3922790697674419,1080,2
233,12:00,0.8130333333333333,720,4
234,00:30,0.79215,30,3
235,18:00,1.1007551020408162,1080,2
236,17:30,1.4238888888888888,1050,2
237,18:00,0.841975,1080,2
238,17:30,1.2118529411764707,1050,2
239,18:00,0.9844565217391303,1080,2
240,23:30,0.2874875,1410,0
241,07:00,0.6427804878048781,420,1
242,08:30,1.7964090909090908,510,1
243,18:00,1.3689705882352943,1080,2
244,19:00,1.0486052631578948,1140,2
245,18:30,0.8268793103448276,1110,2
246,18:00,1.5623809523809522,1080,2
247,19:00,0.8592105263157894,1140,2
248,00:00,2.5066544117647056,0,3
249,07:00,1.5812739726027396,420,1
250,12:00,0.8723877551020408,720,4
251,03:00,2.2356796875000002,180,3
252,17:00,0.9437077922077921,1020,2
253,20:30,1.4858536585365854,1230,0
254,07:30,1.549047619047619,450,1
255,21:30,1.7125652173913044,1290,0
256,21:30,1.7806060606060605,1290,0
257,18:00,1.852392857142857,1080,2
258,18:00,0.6426538461538461,1080,2
259,20:00,0.6840263157894736,1200,0
260,07:00,0.013,420,1
261,23:00,0.7988124999999999,1380,0
262,20:00,1.3795918367346938,1200,0
263,19:00,0.9219578947368421,1140,2
264,18:00,0.7723555555555556,1080,2
265,17:30,0.7988620689655173,1050,2
266,19:30,1.5364827586206897,1170,2
267,07:00,1.7143513513513513,420,1
268,20:00,1.6135483870967744,1200,0
269,23:30,1.247814814814815,1410,0
270,18:00,1.197248275862069,1080,2
271,19:00,1.469925,1140,2
272,18:30,1.0482,1110,2
273,11:00,0.9059195402298851,660,4
274,19:30,1.2407142857142857,1170,2
275,08:30,0.9124324324324323,510,1
276,18:30,1.8928305084745765,1110,2
277,12:30,0.8035294117647059,750,4
278,09:30,0.728086956521739,570,1
279,18:00,1.509029702970297,1080,2
280,18:00,1.282890909090909,1080,2
281,00:00,1.203264705882353,0,3
282,08:00,0.516578947368421,480,1
283,18:00,0.6099111111111111,1080,2
284,19:00,0.8568974358974358,1140,2
285,00:30,1.046695652173913,30,3
286,18:30,1.4487999999999999,1110,2
287,18:30,1.3577717391304347,1110,2
288,19:00,1.11328125,1140,2
289,18:30,1.483769230769231,1110,2
290,05:00,1.487433962264151,300,1
291,21:00,0.7343809523809524,1260,0
292,18:00,1.802,1080,2
293,01:00,2.00025,60,3
294,07:00,1.4229736842105263,420,1
295,19:30,0.6568717948717948,1170,2
296,18:30,0.8305172413793103,1110,2
297,19:30,0.7836,1170,2
298,19:00,0.5165,1140,2
299,19:00,2.339083333333333,1140,2
300,00:30,1.3903695652173913,30,3
